country_name,cumulative_confirmed,cumulative_vaccine_doses_administered,population,population_density,human_development_index,cases_per_million,doses_per_one_hundred
Argentina,9697763.0,109204825.0,44938712.0,16.515,0.825,215799.7541184536,243.00835546866585
Bolivia,1106538.0,14499985.0,11673029.0,10.775,0.693,94794.41882651024,124.21784440011243
Brazil,34568833.0,347868481.0,212559409.0,25.431,0.754,162631.39403064485,163.65706069497023
Chile,4568495.0,62204235.0,17574003.0,25.71,0.832,259957.563453244,353.955982595428
Colombia,6304317.0,87566541.0,50882884.0,45.861,0.747,123898.57854755246,172.09429599155584
Costa Rica,1105792.0,11703991.0,5094114.0,99.767,0.794,217072.48797337475,229.75518412033966
Cuba,1110948.0,41633709.0,11326616.0,106.413,0.769,98082.95787550315,367.5741192250183
Dominican Republic,641677.0,15998519.0,10847904.0,224.501,0.736,59152.164325937985,147.48027821780136
Ecuador,999837.0,37260948.0,17643060.0,71.038,0.746,56670.27148351816,211.19322838555217
El Salvador,201785.0,11127982.0,6486201.0,313.041,0.7,31109.89005736948,171.5639401245814
Guatemala,1112550.0,19473335.0,17915567.0,167.185,0.627,62099.62542631221,108.69505274379539
Honduras,455669.0,15479847.0,9904608.0,88.521,0.606,46005.758127933994,156.28934532290424
Mexico,2978564.0,209673612.0,110991953.0,66.325,0.756,26835.85538854335,188.90884098597672
Nicaragua,14990.0,11754947.0,6624554.0,55.049,0.631,2262.7938424232034,177.4451080027425
Panama,984234.0,8581558.0,4314768.0,58.041,0.78,228108.20883069496,198.8880514549102
Paraguay,715806.0,9386134.0,7132530.0,17.953,0.702,100357.93750604625,131.5961376958807
Peru,4127612.0,83624934.0,29381884.0,25.759,0.75,140481.52936687108,284.6139274118705
Puerto Rico,943972.0,,2860840.0,322.53,,329963.22758350696,
Uruguay,982846.0,8734313.0,3473727.0,19.848,0.804,282937.02988173795,251.4392466650373
Venezuela,543873.0,37860994.0,28435943.0,32.238,0.761,19126.251589405707,133.14485121875506
